Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2003-01-24,1,"CD review: Finnissy: Dilok; Delal; Kulamen Dilan, etc: Topologies",CD Review: Various Artists: Impact!,CD review: Jim & Jennie and the Pinetop: One More in the Cabin,CD review: Ry Cooder and Manuel Galban: Mambo Sinuendo,CD review: Hexstatic: Listen and Learn,CD review: Busta Rhymes: It Ain't Safe No More,CD review: Nick Cave: Nocturama,Women in the Tory party,Gerry Adams talks to the Guardian,Collective responsibility,'Workaholic' Sadie to follow in Lucy's pawsteps,Union anger stalls Labour funding deal,Xavier pushed out to Galatasaray,Gavin Bryars proves less is the new more,Markets continue to fall,Ceteris are rarely Paribus,Week 19: the bets,"Franchise, Funkadelic, and Football Facts For Freaks",Charity cuts jobs in bid to balance books,UK growth slows to 10-year low,Stephen Moss: We hate missing tea,"No, not a ski resort - it's the south pole",CD review: Mat Maneri: For Consequence,Benn to visit Iraq on peace mission,CD review: Wolfgang Puschnig: Chants
2003-01-27,0,Walsall stroll along Lee way to history,Venables tightrope tightens at the Gills,Rochdale buy time for Simpson,Reality bites back at Arbroath,Peschisolido sharpens Blades in fight with no losers,Like deja vu all over again,Careless Tardif hands Stoke the initiative,Canaries make uneasy overdogs but late Abbey strike cuts Daggers out,Microsoft to support Six Sigma,Blix report leaves 'unresolved questions',My first road trip,Reaction to Hans Blix's statement,Inspectors fail to find smoking gun,Key points of Hans Blix's statement,Man wins!,Statement by Hans Blix to the UN security council,Part 2: Statement by Hans Blix to the UN security council,"Drink,  Sleep, and  Eat.",Life imitating art,Spielberg's spy dreams,FTSE plunges 122 points,Steve Jobs for President?,Gunners give lesson on home economics,Prior to take over from Pickard at BBC,BBC names natural history chief
2003-01-28,0,College Days,Bullet Points,"Key stage 1 Teachers' notes: Fruit and veg, week 4: the giant surprise",If you ask me ....,Seeing red,Changing demography should shape further education,Making sense,Deep end,Class notes,And they're off,'My family in Africa send me money to get by',Tube decay,Ryanair adds Stockholm to European bases,New advertising panel aims to be industry barometer,Mail on Sunday signs Caplin,BBC's celebrity boxing KO'd,Player power;   Speaker's Corner; and   Coca-Cola,Hans Blix's report: world press review,FTSE snaps losing streak,New coalition bids for votes at 16,You Bet Your Life - Week 19: The Verdict,Email debate: Yigal Carmon and Brian Whitaker,"Leslie, La and La Liga.",Radio: Pick of the day,Scathing criticism for managers' neglect
2003-01-29,1,Roeder makes changes to squad,Manchester City revive move for Fowler,Barcelona turn to Rexach again,Kerr's first task is Keane peace deal,Chelsea 3 - 2 Leeds,Middlesbrough 2 - 5 Aston Villa,Kevin McCarra: Arsenal ripe for direct action,Bolton 1 - 2 Everton,Arsenal face Man Utd without Silva,Tod and Bollan to beef up Dundee United defence,Reading 1 - 3 Leicester,Sunderland 0 - 1 Southampton,Maiden posts disappointing results,Let us march,FTSE on the slide again,Auditors slash NatMags sales figures,Colchester sack Whitton,Adie quits BBC news job,"Hound of the Baskervilles, The Valley of Fear, and The Illustrious Client",Government announces new accountancy regulator,Rogers rehired for Welsh assembly building,Unto the breaches,Russell group applauds higher white paper,Skiing in a snowfall? Piece of cake...,Game on for Bruce and Liddle
2003-01-30,1,West Bromwich Albion 0 - 1 Charlton Athletic,Tottenham 0 - 1 Newcastle,Derby sell off key assets,Manchester City 4 - 1 Fulham,West Ham 2 - 1 Blackburn Rovers,Celtic 2 - 0 Dundee United,Liverpool 2 - 2 Arsenal,"Feedback, Jan 30","US gives diplomacy 'weeks, not months'",BBC's FA Cup upset,Boston sounds warning over exams,Why is new work so poorly represented in concert schedules?,Labour MEPs: war is not justified,BSkyB is leading the charge into tv gaming,Strike-breakers not welcome,Prescott: the union response,"Max Beckmann, Tate Modern, London",Blair and Ahern to meet Ulster parties,Fiver Fotos,Leeds fans call for board to resign,Umist professor escapes disciplinary action,"Leeds this morning, Leeds this afternoon, and Falkirk today",Olympic bid decision not imminent,Business targets the blogs,London teachers threaten three-day strikes over pay
2003-01-31,0,Keegan seals 'dream pair' with Fowler,Higginbotham's Southampton transfer in limbo,Robson defends Woodgate,A year to forget at Elland Road,Kevin McCarra: End of the Leeds experiment,January's Premiership transfers in full,"With JY away, listeners gave his prog more play",Car wars,When Martin met Jacko: best entries so far,"A joyful, brassy Balkan album","Richard Hamilton, Gagosian Gallery, London",Barcelona apply for Intertoto Cup,"Pop CD: Richard Thompson, The Old Kit Bag",Every picture tells a story...,Cambridge dons reject modernisation plans,"Staying, Going and Off! Off! Off!","Jazz CD: Wardell Gray, The Wardell Gray Story",Pop CD: Tom McRae: Just Like Blood,Classical CD: Schubert: 'Rosamunde' Quartet; Quartet in E Flat; Quartettsatz in C Minor,"Pop CD: Robin Gibb, Magnet","Classical CD: Rautavaara: Angels and Visitations; Symphony No 7, 'Angel of Light'","Classical CD: Mayr, Ginevra di Scozia","Pop CD: Lo'Jo, Au Cabaret Sauvage",Two Soham officers face court on porn charges,"Pop CD: Johnny Marr and the Healers, Boomslang"
2003-02-03,1,Interview: Roger Taylor,Online home,Obituaries: the Columbia astronauts,SPOT the Atari connection,El Tel gets lost in translation of body language,Flyer raises his profile for Festival,Normal service resumes for  Mansell,Stretching some union muscle may curb those rich unions,Faldo expects but Els delivers,Firman's cool head convinces Jordan,MacArthur warming to record bid,Takaloo targets De la Hoya,McManus claws his way back to victory,Eberharter seals gold as Maier returns,Tainted,Brit pack look to Jackson,Round up,FA passes the buck on Middlesbrough's postponement,Zurich Premiership: London Irish 11 - 23 Sale,Portsmouth 3 - 0 Grimsby Town,Millwall 1 - 0 Sheffield United,Leicester City 1 - 0 Crystal Palace,Comment: Who wants to be the FA boss?,Women's football,Partick Thistle 0 - 2 Celtic
2003-02-04,1,Nokia to launch N-Gage game phone,A glimmer of hope (a personal note),Upson finds a voice in the Blues,Souness faces FA rap after blast at Johnsen,Lull before the storm in Leeds,Kolinko crashes out of Palace,Houllier slams Gerrard ban,Eriksson adjusts to role as guerrilla in the Soho Square mist,Clough goes home,Lawz proves another find for Mann,Henderson and Pipe rule Tote roost,England injury blow,Bristol pair are Falcons targets,Labour's spin on Zimbabwe tells untrue story,O'Leary lands �2m,White's new deadline,Lara fires into Free State,ECB hands final decision to its three wise men,Anderson proves age is no barrier,Silky O'Sullivan turns on the style,Russians are coming,MacArthur has the wind taken out of her sails,Gebrselassie plots move into politics,Bates puts top spin on doomed Britain,Bosnich loses appeal
2003-02-05,0,Bosnich loses Chelsea appeal,Leeds' fans in better humour,G14 ready to block friendly call-ups,FA offer to delay Gerrard's suspension,McGhee looks forward to FA Cup TV money,Leeds 2 - 1 Gillingham,Birmingham 0 - 1 Man Utd,CIS Cup semi-final: Hearts 0 - 1 Rangers,"'Enough, enough'",Full text of Colin Powell's speech - part 3,Full text of Colin Powell's speech - part 2,Ride 'em cowgirl,Campbell to run for Lib Dem deputy leader,Clerical Medical latest to make cuts,Straw: Saddam faces moment of choice,Radical cleric barred from mosque,"Robert Ryman, Haunch of Venison, London",Polly Toynbee: Now the Lords will remain a laughing stock,Loophole secures pay for absent councillor,Hoon confirms Fylingdales star wars deal,The unanswered questions,Ridsdale faces the fanfare,"Amanda, Arsene, and Ardbeg",Allergic inaction,Iraq war may land Blair in court
2003-02-06,0,"Ask Jack, Feb 6",Why girls like orcs,Which memory card?,Liverpool 0 - 2 Crystal Palace,Schmeichel likely to return for Barthez face off,Australia a match too soon for Bridge,Kerr talks to Keane,Millwall 1 - 2 Southampton,What's new: Sony Ericsson P800 | Siemens S55,What's new: First 3G handset,"Feedback, Feb 6",Chatroom of the week,US evidence is 'fiction': Iraq,Mongolia than thou,Journalist's online terror hoax,Pratley given Guardian brief,Classical chillout clubs,Shots fired at loyalist terrorist's funeral,Record investigates complaint against news editor,Saints slash wage bill,The disquieted American (part 2),Beckett promises green development strategy,"Shower,  Sven, and  Scottish weather",Matteo waves Scotland goodbye,Jackie Ashley: This week Labour began to imagine life without Blair
2003-02-07,0,War on terror chic,Snippets,Ties: yes or no?,GM cotton doubles yield in India trials,Time to talk to Tehran,PowerPoint of view,England appeal turned down,"Giorgio de Chirico, Estorick Collection, London",Why is Christian McBride playing it safe?,Richard Thompson,Jowell husband investigated in fraud case,Health and social care directorates abolished,�94m pledged for hearing aid programme,Fiver Photos,Tony Blair on Newsnight - part two,Hill's Star continues to shine,McConnell promises clean campaign,3.75% revisited: 1955 and all that,Guardian Weekend TV special,"War has �3.5bn price tag, experts warn",UK's largest lender cuts mortgage rates,Why a bid to roll a three-tonne rock from Wales to Stonehenge failed,"Iraq trying to cooperate, says Blix",An evening of music inspired by the giant sculpture in Tate Modern's Turbine Hall,"Child abuse victims become perpetrators, survey reveals"
2003-02-10,0,Brilliant Berkovic lays foundations for Keegan to play Ferguson at his own game,Houllier needs a McManaman to set Owen free,Tottenham Hotspur 4 - 1 Sunderland,Leeds United 1 - 0 West Ham United,West Bromwich Albion 1 - 1 Bolton Wanderers,Fulham 2 - 1 Aston Villa,Charlton Athletic 2 - 1 Everton,Manchester United 1 - 1 Manchester City,Blackburn Rovers 1 - 0 Southampton,Liverpool 1 - 1 Middlesbrough,Birmingham City 1 - 1 Chelsea,Portsmouth 6 - 2 Derby County,Ipswich 3 - 2 Sheffield United,Newcastle United 1 - 1 Arsenal,Celtic 2 - Livingston 1,Screen Break: Tears on screen as cam jam hits the Fanzone,Zimbabwe match remains in doubt,Tony Blair: The left should not weep if Saddam is toppled,Live the iLife,Iraq agrees to surveillance flights,From here to El Hierro,Speaker's corner: Iraq special,League reject Charlton's pitch protest,Veto deepens Nato rift over Iraq,Tractor Boys splutter into administration
2003-02-11,1,England's death-threat letter: full transcript,"Voters' insecurities must not be neglected, centre left warned",Nato rift: world press review,Publicis declares 20% hike in revenues,Keane quits Ireland,"A moral maze, mind games, and a beauty contest.",Changes give Capital much needed boost,Stars hired three security firms for wedding,England snub Zimbabwe,Ramblers celebrate victory over landlord,Foundation degrees: the issue explained,"Boy Wonder,  Bags, and  Bigwigs",Scottish funding councils to merge,The price of success,Council victory in homes-for-votes case,"Break up Sky, says Cox",More UN inspectors 'a recipe for delay',Cambridge first with electronic archive,Paying the piper but not calling the tune,Obituary: Mongo Santamaria,Chicago leads Oscar nominations,Do growing pains exist?,Rebecca Smithers recalls how she beat her allergy,Bedside stories,Research funding at risk
2003-02-12,0,Vogts concerned about state of pitch,Venables angered by Kewell's decision,Rooney leads Eriksson's experiment,Hasselbaink vows to stay at Chelsea,Leeds inquiry into Ferdinand deal,Duncan Mackay: Uncle Jimmy's golden shot,Keane announces retirement,England 1 - 3 Australia,England 1 - 3 Australia,Scotland 0 - 2 Republic of Ireland,There are more questions than answers,Guardian/ NFT interview: Stephen Daldry,"Polly Toynbee: If the UN backs war, so will we",Yorke defects in latest C4 drama,US puts new bad guys in the picture,"We promise no more, It could turn nasty, and They need a home",Nuclear watchdog refers N Korea to security council,London Olympic bid suffers false start,Capital Gold polishes up breakfast show,Virtual communities 'can boost charities',Brown sets aside further �750m for war,Hello!'s fixer is 'impetuous',Blair ducks question over inspections,No surrender monkeys,"'If Zeta Jones wanted private, she shouldn't have held her wedding in a New York hotel'"
2003-02-13,0,Wales 2 - 2  Bosnia-Herzegovina,Del Bosque denies Ronaldo rebuke,Minardi wants bail-out fund,Sven defends 45-minute policy,"Feedback, Feb 13",The Greek outdoors,Chatroom of the week,Three airport terror arrests,The creative industries work best when the creatives are in charge,"Pom,  Roy, and  Jon",Blair: missile find may be smoking gun,Sven: I'll defend friendly policy until I'm dead,Trend faces two week suspension,Iraqi missiles report 'could show serious breach',Lords split over 'cottaging' laws,Straw attacks 'lying' Saddam,Broadcast round-up,An unholy alliance,West Indies v New Zealand: West Indies innings,Adams keeps Black Caps alive,Catherine Bennett: Laugh or I'll sue,Movers and shakers,Timeline: congestion charging,Steven Soderbergh and George Clooney at the NFT,FaxYourMP.com's new milestone
2003-02-14,0,Eight Legged Freaks,The Bourne Identity,The Sweetest Thing,Hodge fails to shine at UEL,Leicester to adopt Fosse name again,Eriksson puts the blame on clubs,Ferguson claims FA have two standards,Halaand's career at an end,What the Aussie papers said,Eriksson's problems run deep,Kirkland escapes surgery,Ron Atkinson: Eyes down for the season's defining fixture,England lose out to Premiership mnagers,txt msg considered harmful,Van Dyck's devoted couple reunited,Brown gives support to war,Security council debates Iraq issue,A tough time for Blair,Pop veterans sign up for a dose of reality,Truly boundary-crossing collaborations,A mixed bag,Full text: Hans Blix's briefing to the UN security council,Imperial to investigate journal forgery allegations,'The most pitiful sight I have ever seen',Ben Harper
2003-02-18,1,Bayer Leverkusen 1 - 3 Newcastle,Arsenal 1 - 1 Ajax,Carol Adams: Supply teaching not at fault,"'Too few ambulances, too few paramedics'","'To be ready to decontaminate people, the fire service is getting an initial �53m'",Sites of resistance,'Think out of the box? There is no box now',NHS pays �1.8m to man injured by brick,Tim Dowling on why we keep giving money to the Donkey Sanctuary,BBC: conman is just 'trying it on','Cheriegate' conman tries to block BBC film,Arts and crafts,"Great cricket, bad timing, Jekyll and Hyde; and Martin Crowe and the Maori.",Delgado pleads forgiveness,At-a-glance: the mortgage cuts so far,Research funding boosts corporate profits,Brown staves off EU criticism,"David Aaronovitch: Chaos, mayhem, dead cyclists... well, no","Big Top, and Big Cup",Leader: Powerful pairing,Google buys Blogger web service,"10,000 did not pay congestion charge, says mayor",The numbers game,Key changes to licensing bill,What the papers say
2003-02-19,1,Richard Williams: Beckham's brow brings a smirk to Wenger's lips,Arsenal 1 - 1 Ajax,Bergkamp tastes his own Ajax medecine,Alpay's return postponed,Juventus flu bug could delay Man Utd game,Sheffield United 1- 3 Reading,Bayer Leverkusen 1 - 3 Newcastle United,Manchester United 2 - 1 Juventus,Iran plane crash kills 270 soldiers,Police 'spidergrams' provoke confusion,"'It's not just tackling the event, but having the officers to sustain a long recovery'",Live and glittering: win tickets to see Goldfrapp,"Chuck Close, White Cube, London",Tomorrow in Online,Greens select Livingstone's deputy,Target practice under pressure,"Leave Iraq, Foreign Office tells Britons",England v Namibia,Senior BBC staff scrap over Dyke initiative,Anarchy in the UK,City Showcase: do live bands and shopping mix?,England v Namibia - Namibia innings,Cargo ships 'may contain Iraqi weapons',"Ghana, social work",8m caught in US credit card fraud
2003-02-20,0,Fulham 3 - 0 WBA,Auxerre 0 - 1 Liverpool,Briton shot dead in Riyadh,"It's Robbie's night at the Brits, again",Ipswich 2 - 4 Wolverhampton,Paris police arrest Tatchell,Samways plumps for Walsall,Are you more embarrassed than these Germans?,Storm in a C-zone,Mandela lawyer launches assisted suicide bill,Is the independent spirit dead?,"Clown, Oaf and Alpay",HSBC joins the cutters,Unions call for limit on class sizes,BBC takes swipe at Sky News,Pirate radio convictions double,Kramer: the Camden years,David Aaronovitch on London Fashion Week,Saddam and the lesson of Suez,A backward glance at the old continent,Comment: Media moves on the weblogs,Drop in black pupil achievement,African-American woman joins White House hopefuls,Poll shows weak support for Stormont,Tom Jones
2003-02-21,0,Andy Wilson: From highs to Lowes and back for a rerun,Brendan Fanning: Humphreys wins again in game of chance,Team guide Super League VIII,Stewart to stay as stopgap captain,Counties to criticise Lamb,Australia 170-2 Holland 122,Ronnie Irani: A test of patience in the wee long hours,Olonga cast out by his Harare club,Higgins trounced in comeback,Bristol's future may lie in move to Oxford,Andy Wilson: Saint Millward has a taste for goading Bulls,Guest's first race called off,Teams oppose new changes,Montgomerie accompanied by bodyguards,Walkers given final warning,Aldama still unable to represent UK,Error message,Inner conflict at Craven Cottage,Eriksson thinks Jenas might hit the spot,Auxerre 0 - 1 Liverpool,85 dead in nightclub fire,TV's top property shows,NUJ attempts to defuse BBC sackings row,Sacked producers hit back at BBC,Charity head lambasts moral case for war
2003-02-24,1,New Media Diary,High noon,Media Monkey,My media,Bring on the donkey,My New Media,How City left themselves wide open to attack,Hooligan confusion awaits United in Italy,Reading 3 - 0 Rotherham United,Preston North End 0 - 2 Wolverhampton W,Brighton & Hove Albion 1 - 0 Millwall,Portsmouth 1 - 0 Gillingham,Hartson the Celtic marauder,Leicester City 4 - Wimbledon 0,"Seeking a short, sharp tour of China",Taking the family Down Under,WPP slump hits PR businesses hard,Conserve the animals!,Next stop Peru,Saviola leaves Antic purring,Just in case...,Bargain hunting,"Questions,  Statements, and  Accusations",Should Google^h^h^h blogging be regulated?,Bolton Wanderers 1 - 1 Manchester United
2003-02-25,0,Juventus 0 - 3  Manchester United,Buzz to cancel flights for one month,Blair urges MPs to back resolution,Scared to leave the country?,Ties,Young composer competition - how to enter,The Super Six: Who? When?! How?!!,Blix: Iraq showing substantive cooperation,Last minute twist in Oxford race,The spirit of Nasser; the ghost of Hansie; and the curse of Cairns,Dacre lashes out at 'censorship',West Ham: 'Di Canio's future not yet decided',Tottenham 1 - 1 Fulham,Seeds of creativity,Dacre makes case for self-regulation,Anti-Gats campaigners attack DTI,Tiger Tim mauled again,"Sweat,  Watney's Party Sevens, and  Ice",PCC under fire at Commons inquiry,War could cost Labour Wales and Scotland,Attorney general rules out prosecuting Saddam,Pakistan v Holland: the Holland innings,Bristol accused of state school bias,"Rolls-Royce to shed 1,100 jobs",Blair: Saddam must comply 100%
2003-02-26,1,Keegan sees James in Schmeichel role,Giggs opens up Juve's gifts,Paulo Coelho: It's under Bush's bed!,Dangers of 802.11g,Unhappy Di Canio may be heading back to Celtic,Wolverhampton W 0 - 0 Watford,Crewe Alexandra 0 - 1 Wigan,Ajax 0 - 0 Arsenal,Newcastle United 3 - 1  Bayer Leverkusen,Record-breaker Nehra routs England,England v India: the India innings,England v India: the England innings,Full list of Labour rebels,Rio gangs cast violent shadow over carnival,Ryanair to cut Buzz routes and jobs,MoD goes on the defensive,Highlights of the Iraq debate,"Publicness, ICA, London",Top architects in line for classroom design,Paxman rapped over Kennedy interview,Pressure cooking,"Condiment,  Ken, and  Koeman",Today at question time,PM dismisses positive discrimination,Virtual protesters bombard Washington
2003-02-27,0,Vieira strives in vain to crack the Ajax wall,Celtic longing for Larsson,Freak injury wipes out Wanchope's season,Murphy sounds warning,Burnley 3 - 0 Fulham,Stofe 1 - 0 Walsall,Liverpool 2 - 0 Auxerre (agg: 3 - 0),Australia v Namibia,Choose life,How is Radio 3 winning new audiences?,Web's rulers don't follow Web standards,Rebel vote stuns Blair,Against the war,Man arrested in student murder case,Dooner demoted in IPG boardroom coup,Palumbo quits as Ministry boss,Intel and Marriott bringing Wi-Fi to hotels,Brown called in for euro policy grilling,Brown keeps MPs guessing over euro,Windows going peer-to-peer,Rage against the war machine,Aussies pummel hapless Namibia,Dennis Bergkamp factfile,Iraq 'to destroy' banned missiles,Bergkamp charged with elbowing Bowyer
2003-02-28,1,Eriksson is staying for Euro 2004 campaign,Newcastle's stock still on the rise,Keane's immediate future should be as a midfielder,Barthez image just a smokescreen,Injured Giggs is doubt for final,Bird takes flight from City,'I think we should be open with the British public','The difference between business survival and demise',Bergkamp and Cole may miss big games,Top 10 billionaires,Airport charges to rise sharply,Sri Lanka v West Indies,Redwood: the resurrection,"Liverpool, Manchester United, and Liverpool and Manchester United",Philip Glass's richly satisfying music for The Hours,Spinning around politics,Saddam's missile offer divides security council,PC sales could be looking up,Asylum seekers' main countries of origin,Family may sue over face transplant story,In the name of the father,Government apology over nuclear breach,Blair dismisses Saddam's 'games',Belgium's far right resurgent,"The Bad Plus, Pizza Express Jazz Club, London"
2003-03-03,1,'Player of the season? I'd cast my vote for Shearer',Robert Kagan: Healing the transatlantic rift,Derby County 1 - 1 Leicester City,My New Media,Media Monkey,My media,New Media Diary,Celtic 3 - 2 Hibernian,Wolverhampton W 4 - 0 Crystal Palace,Millwall 0 - 5  Portsmouth,Norwich City 0 - 2  Ipswich Town,Watford 1 - 1 Nottingham Forest,Interview: Ralph Firman,Kenyans the jokers in Six pack,Glorious Tendulkar lights up all India,How England can still qualify,Whatever the result on Saturday it won't be good for Les Rosbifs,Swiss win brings Cup to Europe,Bath 30 - 9 Saracens,London Irish 9 - 38 Northampton,Wasps 13 - 12  Newcastle,Leicester 11 - 16 Gloucester,Rivals feel the pain as Hodgson doubles up,Burns survives to take championship lead,Market moves
2003-03-04,0,How Oakley turns himself on,Owen calls for new sense of adventure,Ridsdale dismissed as 'dimwit' by fans,Premier League set to scrap loan ban,Only Europe has power to lift Ferguson's fading heroes,Carnival sways to samba,Stormont elections face delay,"Falling pound lifts euro obstacle, says George",Emily Bell: Scardino and the City? It's a serial drama sponsored by scaremongers,Bristol attacks admissions 'fallacy',Winning obsession,West Indies salvage pride as Kenya progress,Mobiles immobilised in street crime crackdown,Botham: 'It's time for Hussain to go,Gloucester in final after tribunal waives the rules,Straw dismisses Iraqi concessions,"Comical blunder,  Comedy clown, and  Comic Relief",Russia refuses to rule out UN veto,Clarke honoured with foundation degree,David Aaronovitch: I'm an asylum seeker - get me out of here,MPs opposed to foundation hospitals,Oxford booze ban lifted,Aston Villa 0 - 2 Birmingham,Government considers cash bonuses for schools,ASA clamps down on spam
2003-03-05,0,Irish authors,BBC rethinks web chat rules after Celebdaq leak,Lib Dems pick Hughes for London mayor,Ofcom not open until Christmas,Firefighters to get 'significantly' better offer,Bates: Chelsea used to be a racist place,UN war doubters unite against resolution,The Spin,Clarke dismisses 'brouhaha' over Bristol admissions,Fresh resolution 'gives no authority for war',"Breakfast, Dinner and Lunch",Students lobby MPs over fees,Haifa bus explosion kills 10,Get the picture?,Pupils walk out over war,Bashir turns the tables on Fergie,Best GPs promised more autonomy,"Saatchi's �250,000 sculpture gift","Too much, too young",Not long now,Charles eclipses Diana in charity income league,Lecturers voice concern over department changes,15 dead in suicide attack on bus,Misleading or misled?,"'Here, emergency planning has come into the mainstream'"
2003-03-06,1,In brief: Brittany Murphy looks into Little Black Book,Apple releases iMovie patch,'Disaster survivors and bereaved are being listened to better',Sweet valley highs,Straw: keep up pressure on Saddam,Laying down the Law,31 songs by Nick Hornby,"Henry V, Viaduct, Halifax",Vivendi reveals talks with Viacom,Fifa postpone Youth cup,Controversy over Gaza raid deaths,Andre Mantegna's The Holy Family,Algerian plane crash kills 102,Gilchrist dismisses 16% fire offer,Broadcast round-up,"Savage Garden,  Orange Juice, and Oasis",War weakens the soul,Another moment of madness for Davies?,Dave Green: The trouble with weblogs,Pager plot of quiz show 'cheats',Millionaire cougher blames allergy,Student Straw 'chief troublemaker' on Chile trip,The rewards of friendship,Report sets stage for Enron bankruptcy battle,Blair: vetoes no obstacle to war
2003-03-07,0,League's top talent in shop window,Manchester City risk ruin with 'buy buy buy' mentality,If we win this it's not such a bad season,Hibernian 0 - 2 Dunfermline,Universities get cash increase to widen access,Hefce rewards university expansion,Out of mind,Kenya v India: the India response,All points north,Straw calls for March 17 deadline,Powell says Iraq still not complying,Blix wants months - and Straw offers 10 days,Blix and El-Baradei: Key points,Schoolboy refutes Sun's Prince Philip gaffe claim,E-envoy faces 25% budget cut,"For Brazilian rhythms, go to Brussels","Richard Artschwager,  Gagosian Gallery, London",Jail for head who forged exam papers,War fears and poor corporate news buffet markets,Full text of Hazel Blears' speech,Clarke's son suspended from school,Speaker's corner,"Old riff, Recycled gag and Tired format",Media Guardian Briefing: March 7,Interpublic shares hit 10-year low
2003-03-10,1,Roger Needham,Adam Faith,Who will replace Wilko?,Women's football,Vieri keeps powder dry for Newcastle,Venables mute but Leeds form can tell no lies,Boston's up,Arsenal call for an end to replays,Celtic 1 - 0 Rangers,Wilkinson and Cotterill sacked,Howard Wilkinson factfile,Boating holidays,Terms and conditions,M. Student Columnist of the Year,L. Student Travel Writer of the Year,K. Student Diversity Writer of the Year,J. Student Sports writer of the Year,Russia and France threaten to use veto,I. Small Budget Publication of the Year,H. Student Critic of the Year,G. Student Website of the Year,Solar eclipse,F. Student Publication Design of the Year,E. Student Photographer of the Year,D. Student Feature Writer of the Year
2003-03-11,0,US play in next World Cup,FA Cup supporters face long trek north,Internazionale 2 - 2 Newcastle,Arsenal 1 - 1 Roma,Who's rebuilding Iraq?,Students protest against homophobic picket,A warm welcome on ice,Libya accepts Lockerbie responsibility,Editorial,"Anticlimax, Antipathy, and Anti-Ganguly",Diplomacy fails to break deadlock on Iraq,Setting the NHS Free,What's the point of referral?,Tories promise all hospitals freedom,"Mick, Stick, and  Quick",Iraq diary: Jo Wilding in Baghdad,MPs to keep the Commons touch,US firms set for postwar contracts,Coulson attacks royals over privacy,South Africa appoints consultant who rules out Aids/HIV link,'Snooper's charter' scaled down,'Iraqi' refugees to face language checks,Manufacturing output rises by 0.3%,Buy-to-let market surged in 2002,One enchanted evening
2003-03-12,0,Man United 1 - 1 FC Basle,Fire strike next week,Hildabeasts rattle the bars at prospect of open doors,Straw spells out key tests for Saddam,BBC boss admits websites face chop,The Machiavelli of No 11,Hachette axes boss Cotterill,"Centre Nationale de la Photographie, Paris","PMA,  SAFC, and  WWW",Rebel without applause,BBC moves the ground beneath Sky's feet,FE lecturers agree pay deal,Timeline: the BBC and BSkyB,All hail rise for the bullet-proof genius,First past the blog,Killer facts,Government faces �1.5bn bill for IT failures,The IDS of March,The dark dangers of this war,Q&A: what the deal means for viewers,The 'snoopers' charter' explained,Tarrant takes stand in Millionaire trial,"The Dixie Chicks, Shepherd's Bush Empire, London",Kenya profit from ICC incompetence,Uneasy rider
2003-03-13,1,Celtic 1 - 1 Liverpool,Referees suffer 'illusory superiority',Larsson could be back in Celtic line-up,Struggle develops over Craven Cottage,Microsoft steps up PC development,Britain backs plan to weaken heritage sites,xx,Obituary: Zoran Djindjic,HP is adding Wi-Fi to some desktop PCs,xx,Heavy-handed populist in a bullet-proof minivan,France hints at softening Iraq stance,BBC satellite move could prove own goal,Media Week round-up,By Georges,Wrigley's ad draws record complaints,Microsoft thinking about the Dell problem,Intel gets its chopper out,�52m to make schools more community-friendly,New Centrino machines appearing,Twisting the Helix,"Food,  Food, and Not so good",European markets bounce back,CBI trying to 'scupper regional devolution',Cabinet to meet again before war
2003-03-14,1,Dugarry faces charges for spitting,Look who's flying now,Dark days for Europe,Allies to attend summit on Iraq,Millionaire lecturer quizzed over debts,"Spit, Spat and Cheat",Dave Douglas's revolution in your headphones,FTSE surges as investors pin hopes on quick war,ITC in European TV sponsorship row,Blair guitar tops government gift list,BBC axes personalised web service,Online launch for new political party,Wales to postpone top-up fees till 2007,New chief for bias row TV company,Tories unveil tax breaks for private healthcare,"Nine tenths logistics, one tenth everything else",BBC scales back public service sites,Sound of silence,India leave Black Caps on the brink,India v New Zealand: the India innings,Bebel Gilberto,Meme for a boring Friday,Kylie exclusive fails to stem Sunday losses,Bastable steps down at Channel 4,Homes away from home
2003-03-17,1,European round-up,Women's football,Celtic 1 - 2 Rangers,Round-up,"Shearer gets close, but not close enough",England return would have been sheer folly,Portsmouth 1 - 0  Wolverhampton W,Reading 2 - 1 Crystal Palace,Sheffield Wednesday 0 - 1 Ipswich Town,Leicester City 2 - 1 Preston North End,Tottenham Hotspur 2 - 3 Liverpool,Manchester City 1 - 0 Birmingham City,Fulham 2 - Southampton 2,Leeds United 2 - 3 Middlesbrough,Sunderland 0 -  2 Bolton Wanderers,Everton 0 - 0 West Ham United,Derby County 1 - 2 Bradford City,West Bromwich Albion 0 - 2 Chelsea,Charlton Athletic 0 - 2 Newcastle United,Sale 32 - 20 Leeds,London Irish 6 - 16 Harlequins,Bungling Bristol take their fragility on to the pitch,Bath 10 - 27 Northampton,Newcastle 24 - 22 Leicester,Saracens 31 - 42 Wasps
